Expiration,CBid,CAsk,CVolume,COI,Strike,PBid,PAsk,PVolume,POI
19930,116.9,118.45,0,25,100.0,0.0,0.01,0,50
19930,111.9,113.5,0,0,105.0,0.0,0.01,0,0
19930,106.9,108.45,0,1,110.0,0.0,0.01,0,4
19930,101.9,103.5,0,3,115.0,0.0,0.01,0,10
19930,96.9,98.45,0,0,120.0,0.0,0.01,0,0
19930,91.95,93.5,0,2,125.0,0.0,0.01,0,0
19930,86.95,88.45,2,6,130.0,0.0,0.01,0,9
19930,81.95,83.5,0,3,135.0,0.0,0.01,0,4
19930,76.95,78.4,2,4,140.0,0.0,0.01,0,19
19930,71.95,73.5,0,69,145.0,0.0,0.01,0,124
19930,66.95,68.45,10,37,150.0,0.0,0.01,0,29
19930,62.0,63.5,1,912,155.0,0.0,0.01,0,182
19930,57.0,58.45,4,136,160.0,0.0,0.01,43,1133
19930,51.95,53.5,27,61,165.0,0.0,0.01,0,137
19930,46.95,48.1,31,79,170.0,0.0,0.01,1,1467
19930,41.95,43.5,29,390,175.0,0.0,0.01,0,1621
19930,37.0,38.1,66,371,180.0,0.0,0.01,19,2380
19930,34.55,35.9,19,2,182.5,0.0,0.01,11,1161
19930,32.3,33.05,445,748,185.0,0.0,0.02,117,4800
19930,29.5,30.6,20,43,187.5,0.0,0.02,347,2033
19930,27.05,27.95,228,588,190.0,0.0,0.02,224,3473
19930,24.5,26.05,19,144,192.5,0.01,0.05,662,1709
19930,22.3,23.0,136,1162,195.0,0.0,0.02,897,6235
19930,19.5,20.5,42,44,197.5,0.01,0.03,1004,3042
19930,17.1,18.0,219,15283,200.0,0.01,0.02,2035,19860
19930,14.6,15.45,74,1011,202.5,0.02,0.03,771,2938
19930,12.15,13.0,1093,2256,205.0,0.02,0.04,1632,6015
19930,9.75,10.5,114,136,207.5,0.04,0.05,3428,6113
19930,7.3,8.0,1575,4329,210.0,0.08,0.1,17236,10657
19930,5.2,5.45,1924,542,212.5,0.2,0.23,26670,5443
19930,3.1,3.35,15823,6306,215.0,0.55,0.64,75476,12630
19930,1.49,1.64,39888,3962,217.5,1.41,1.53,57871,10532
19930,0.57,0.63,100714,16406,220.0,2.85,3.1,34030,10561
19930,0.18,0.2,57734,12439,222.5,5.0,5.4,4138,19037
19930,0.07,0.08,52363,30884,225.0,7.15,7.85,3430,13162
19930,0.03,0.04,19757,29977,227.5,9.7,10.35,1933,5701
19930,0.01,0.02,13839,31692,230.0,12.1,12.95,1709,961
19930,0.0,0.01,6790,17791,232.5,14.7,15.45,249,113
19930,0.0,0.01,2126,30680,235.0,17.2,17.95,2367,145
19930,0.0,0.01,560,11204,237.5,19.7,20.4,4387,1539
19930,0.0,0.01,398,16867,240.0,22.25,22.9,211,13
19930,0.0,0.01,164,7505,242.5,24.6,25.6,0,5
19930,0.0,0.01,72,10946,245.0,26.8,28.1,0,0
19930,0.0,0.01,10,5540,247.5,29.7,30.45,117,9
19930,0.0,0.01,23,11503,250.0,31.9,33.15,0,2
19930,0.0,0.01,0,1010,252.5,34.3,35.65,2,1
19930,0.0,0.01,0,2390,255.0,37.1,37.95,89,7
19930,0.0,0.01,0,395,257.5,39.3,40.55,0,0
19930,0.0,0.01,12,2697,260.0,41.9,43.1,0,0
19930,0.0,0.01,2,1526,265.0,46.8,48.15,0,0
19930,0.0,0.01,0,659,270.0,51.9,53.1,0,0
19930,0.0,0.01,13,609,275.0,56.8,58.1,0,0
19930,0.0,0.01,0,249,280.0,61.9,63.15,0,0
19930,0.0,0.01,0,1679,285.0,66.75,68.2,0,0
19930,0.0,0.01,0,638,290.0,71.9,73.15,0,0
19930,0.0,0.01,0,114,295.0,76.8,78.1,0,0
19930,0.0,0.01,16,152,300.0,81.9,83.05,0,0
19937,117.1,118.65,0,0,100.0,0.0,0.01,0,1
19937,112.15,113.05,0,0,105.0,0.0,0.01,0,1
19937,107.15,108.05,0,0,110.0,0.0,0.01,1,0
19937,102.15,103.8,0,4,115.0,0.0,0.01,270,250
19937,97.15,98.65,0,0,120.0,0.0,0.01,0,8
19937,92.15,93.75,0,0,125.0,0.0,0.01,0,2
19937,87.15,88.1,0,0,130.0,0.0,0.01,1,102
19937,82.15,83.1,0,10,135.0,0.0,0.03,1,371
19937,77.15,78.1,0,2,140.0,0.0,0.03,0,55
19937,72.2,73.1,0,155,145.0,0.0,0.03,1,4
19937,67.2,68.15,0,111,150.0,0.0,0.03,10,42
19937,62.2,63.15,1,48,155.0,0.0,0.04,4,150
19937,57.2,58.75,17,8,160.0,0.01,0.05,10,194
19937,52.2,53.15,34,5,165.0,0.03,0.06,118,1886
19937,47.2,48.2,22,136,170.0,0.04,0.05,26,1201
19937,42.25,43.25,8,287,175.0,0.07,0.09,158,451
19937,37.3,38.25,50,359,180.0,0.11,0.12,567,1782
19937,32.45,33.5,403,326,185.0,0.16,0.17,84,931
19937,27.6,28.35,41,689,190.0,0.24,0.25,994,1360
19937,22.85,23.55,92,9282,195.0,0.38,0.41,281,1408
19937,20.4,21.1,5,0,197.5,0.51,0.54,416,0
19937,18.35,18.65,1720,9014,200.0,0.68,0.7,2878,6288
19937,16.05,16.4,25,0,202.5,0.91,0.96,493,0
19937,13.95,14.2,195,3808,205.0,1.21,1.3,4687,9321
19937,11.85,12.15,212,123,207.5,1.65,1.75,1161,1597
19937,10.0,10.25,975,1986,210.0,2.26,2.35,4679,7263
19937,8.25,8.45,322,442,212.5,3.0,3.1,2222,1758
19937,6.7,6.9,1507,4790,215.0,3.9,4.05,7862,4667
19937,5.35,5.5,3018,1337,217.5,5.0,5.15,3332,1690
19937,4.15,4.25,27160,5864,220.0,6.3,6.5,2216,7358
19937,3.1,3.25,3884,3041,222.5,7.75,8.0,1162,2936
19937,2.31,2.4,8753,8914,225.0,9.25,9.85,885,7662
19937,1.65,1.73,6317,3795,227.5,11.25,11.7,544,2279
19937,1.15,1.21,14969,29015,230.0,13.25,13.65,550,6711
19937,0.78,0.83,1649,3500,232.5,15.35,15.85,117,478
19937,0.52,0.56,3652,14565,235.0,17.55,18.1,28,1808
19937,0.35,0.38,1100,2328,237.5,19.55,20.75,22,157
19937,0.23,0.25,2087,9845,240.0,22.1,23.05,27,567
19937,0.17,0.18,441,3555,242.5,24.2,25.6,1,22
19937,0.12,0.13,1132,28032,245.0,26.7,28.1,5,41
19937,0.07,0.09,253,969,247.5,29.2,30.6,0,5
19937,0.06,0.07,3449,12680,250.0,31.8,33.1,1,2
19937,0.04,0.06,22,2191,252.5,34.2,35.6,0,0
19937,0.04,0.05,167,1557,255.0,36.7,38.15,5,11
19937,0.02,0.04,259,555,257.5,39.2,40.6,5,0
19937,0.02,0.03,358,2582,260.0,41.8,43.1,0,0
19937,0.02,0.03,9,1216,265.0,46.7,48.15,1,1
19937,0.01,0.03,34,1723,270.0,51.8,53.1,1,0
19937,0.0,0.02,4,910,275.0,56.7,58.1,0,0
19937,0.0,0.02,28,20948,280.0,61.8,63.1,0,0
19937,0.0,0.01,1,1269,285.0,66.7,68.1,0,0
19937,0.0,0.01,0,416,290.0,71.8,73.1,0,0
19937,0.0,0.01,61,598,295.0,76.7,78.1,0,0
19937,0.0,0.01,20,756,300.0,81.8,83.1,0,0
19944,116.45,118.15,0,2,100.0,0.0,0.03,0,1
19944,112.25,113.2,0,0,105.0,0.0,0.23,0,1
19944,107.3,108.2,0,0,110.0,0.0,0.03,0,0
19944,102.3,103.2,0,0,115.0,0.0,0.03,0,2
19944,97.25,99.1,0,0,120.0,0.0,0.03,0,0
19944,92.3,93.25,0,3,125.0,0.0,0.23,0,2
19944,87.35,88.25,0,1,130.0,0.0,0.63,0,0
19944,81.45,83.25,0,0,135.0,0.0,0.24,0,0
19944,77.3,78.3,0,6,140.0,0.0,0.24,0,121
19944,71.45,73.3,0,69,145.0,0.0,0.25,0,6
19944,66.6,68.35,0,79,150.0,0.02,0.06,55,604
19944,61.5,63.35,0,2,155.0,0.03,0.26,12,49
19944,57.45,58.4,0,12,160.0,0.04,0.1,5,553
19944,52.45,53.45,0,0,165.0,0.06,0.07,9,70
19944,47.6,48.45,0,5045,170.0,0.08,0.15,0,5012
19944,42.55,43.5,0,66,175.0,0.12,0.15,193,220
19944,37.6,38.6,3,92,180.0,0.18,0.2,125,392
19944,32.7,33.7,1,95,185.0,0.26,0.28,171,289
19944,27.7,28.8,4,239,190.0,0.38,0.42,1395,738
19944,23.15,24.0,3,104,195.0,0.62,0.66,411,312
19944,21.05,21.6,7,0,197.5,0.8,0.84,60,0
19944,18.9,19.25,79,551,200.0,1.04,1.1,777,1746
19944,16.65,17.15,14,0,202.5,1.28,1.49,39,0
19944,14.6,15.0,107,321,205.0,1.73,1.84,388,9192
19944,12.65,13.0,760,0,207.5,2.22,2.36,43,0
19944,10.8,11.1,266,377,210.0,2.88,3.0,942,1628
19944,9.0,9.35,82,0,212.5,3.55,3.95,66,0
19944,7.55,7.8,528,2339,215.0,4.55,4.75,827,2647
19944,6.15,6.4,304,0,217.5,5.6,5.85,245,0
19944,4.95,5.1,2272,7022,220.0,6.95,7.15,986,5557
19944,3.9,4.1,372,0,222.5,8.2,8.65,133,0
19944,3.0,3.2,1884,2844,225.0,9.95,10.55,421,1704
19944,2.28,2.43,616,0,227.5,11.45,12.5,36,0
19944,1.7,1.76,2989,6982,230.0,13.45,14.2,107,1870
19944,1.16,1.39,135,0,232.5,15.45,16.25,0,0
19944,0.9,0.96,1272,9985,235.0,17.65,18.5,45,506
19944,0.65,0.73,79,0,237.5,19.9,20.75,10,0
19944,0.48,0.5,1052,5867,240.0,22.25,23.25,61,312
19944,0.34,0.36,89,0,242.5,24.05,25.6,10,0
19944,0.25,0.28,659,3620,245.0,26.45,28.1,10,192
19944,0.14,0.16,1055,15112,250.0,31.5,33.1,0,1
19944,0.09,0.1,700,5154,255.0,36.35,38.15,2,3
19944,0.05,0.27,209,2139,260.0,41.45,43.0,2,0
19944,0.04,0.05,68,707,265.0,46.35,48.15,0,0
19944,0.02,0.05,36,1381,270.0,51.45,53.15,0,0
19944,0.02,0.04,3,1578,275.0,56.35,58.15,0,0
19944,0.01,0.04,364,598,280.0,61.45,63.15,0,0
19944,0.0,0.04,1,119,285.0,66.35,68.15,0,0
19944,0.0,0.35,361,428,290.0,71.45,73.6,0,0
19944,0.01,0.04,6,117,295.0,76.35,78.15,0,0
19944,0.0,0.01,0,1027,300.0,81.45,83.15,0,0
19951,211.9,213.6,0,3,5.0,0.0,0.01,0,0
19951,206.9,208.55,0,0,10.0,0.0,0.01,0,0
19951,201.9,203.65,0,6,15.0,0.0,0.01,0,0
19951,196.9,198.55,0,0,20.0,0.0,0.02,0,1
19951,191.95,193.65,0,0,25.0,0.0,0.01,0,4
19951,186.95,188.6,0,0,30.0,0.0,0.01,0,0
19951,182.15,183.7,0,0,35.0,0.0,0.01,0,0
19951,176.95,178.6,0,0,40.0,0.0,0.01,0,0
19951,172.0,173.7,0,0,45.0,0.0,0.01,0,40
19951,167.0,168.65,0,15,50.0,0.0,0.01,0,68
19951,137.05,138.7,0,84,80.0,0.0,0.03,0,327
19951,132.1,133.8,0,42,85.0,0.0,0.22,0,721
19951,127.1,128.75,0,56,90.0,0.0,0.03,0,365
19951,122.1,123.85,0,13,95.0,0.0,0.01,100,65
19951,117.15,118.75,1,94,100.0,0.0,0.03,1,505
19951,112.3,113.85,0,8,105.0,0.0,0.23,20,123
19951,107.15,108.8,0,424,110.0,0.0,0.04,110,487
19951,102.15,103.9,0,35,115.0,0.01,0.02,0,2917
19951,97.35,98.85,0,62,120.0,0.01,0.02,1,793
19951,92.2,93.95,0,26,125.0,0.01,0.03,1,2539
19951,87.2,88.85,20,312,130.0,0.02,0.04,12,1918
19951,82.4,83.95,1,142,135.0,0.02,0.04,1,2715
19951,77.25,78.9,0,497,140.0,0.03,0.05,22,8071
19951,72.45,74.0,9,523,145.0,0.05,0.07,1,4062
19951,67.45,68.65,10,1241,150.0,0.05,0.08,27,9131
19951,62.35,64.05,0,640,155.0,0.08,0.1,12,2669
