Expiration,CBid,CAsk,CVolume,COI,Strike,PBid,PAsk,PVolume,POI
19930,78.45,81.5,0,0,90.0,0.0,0.01,2,5
19930,73.45,76.5,0,0,95.0,0.0,0.01,0,0
19930,68.45,71.5,3,2,100.0,0.0,0.01,0,232
19930,63.45,66.5,0,172,105.0,0.0,0.01,0,120
19930,58.45,61.5,0,22,110.0,0.0,0.01,0,146
19930,53.45,56.5,1,2,115.0,0.0,0.02,0,101
19930,48.45,51.5,0,50,120.0,0.0,0.03,0,42
19930,43.45,46.5,1,1,125.0,0.0,0.01,0,26
19930,38.45,41.5,2,105,130.0,0.0,0.03,0,118
19930,33.45,36.5,0,8,135.0,0.0,0.01,1,162
19930,28.45,31.5,8,44,140.0,0.0,0.01,1,247
19930,23.5,26.5,0,51,145.0,0.01,0.02,50,987
19930,18.5,21.5,119,273,150.0,0.01,0.05,370,2431
19930,13.5,16.5,20,33,155.0,0.04,0.06,1943,2438
19930,9.25,11.5,28,83,160.0,0.14,0.17,1378,2899
19930,6.25,8.05,11,13,162.5,0.25,0.3,1031,1210
19930,4.6,4.9,87,162,165.0,0.49,0.54,6885,3653
19930,2.68,3.75,245,120,167.5,0.81,1.08,5306,2917
19930,1.26,2.75,4281,1322,170.0,2.03,2.15,11850,5780
19930,0.46,0.51,6424,499,172.5,3.65,3.85,6058,2985
19930,0.13,0.19,13905,2819,175.0,5.5,6.5,5542,7887
19930,0.04,0.1,6778,7955,177.5,7.55,9.15,3467,6148
19930,0.03,0.04,5733,8448,180.0,10.4,11.05,841,3418
19930,0.02,0.03,1877,3842,182.5,12.05,14.15,339,1645
19930,0.02,0.03,1585,7778,185.0,15.4,16.65,411,2657
19930,0.01,0.03,294,2684,187.5,16.85,19.15,173,1927
19930,0.01,0.03,1420,6913,190.0,18.5,21.65,28,671
19930,0.01,0.03,500,5935,192.5,21.0,24.15,8,85
19930,0.01,0.02,523,8845,195.0,23.5,26.65,11,125
19930,0.0,0.01,1824,2261,197.5,26.0,29.15,28,28
19930,0.0,0.02,1628,16849,200.0,28.5,31.65,5,3
19930,0.0,0.01,843,1916,202.5,31.0,34.15,0,0
19930,0.0,0.01,398,3093,205.0,33.5,36.65,0,1
19930,0.0,0.02,514,952,207.5,36.0,39.15,0,0
19930,0.0,0.01,122,4410,210.0,38.5,41.65,0,0
19930,0.0,0.01,20,824,212.5,41.0,44.15,0,0
19930,0.0,0.01,0,1321,215.0,43.5,46.65,0,1
19930,0.0,0.01,2,581,217.5,46.0,49.15,0,0
