Expiration,CBid,CAsk,CVolume,COI,Strike,PBid,PAsk,PVolume,POI
19930,272.4,274.55,1,29,180.0,0.0,0.31,0,0
19930,262.2,264.85,0,3,190.0,0.0,0.01,0,1
19930,252.4,254.85,0,0,200.0,0.0,0.31,0,3
19930,242.15,244.85,0,0,210.0,0.0,0.01,0,1
19930,232.25,234.85,0,0,220.0,0.0,0.01,0,0
19930,222.15,224.85,0,0,230.0,0.0,0.31,3,3
19930,212.15,214.85,0,2,240.0,0.0,0.01,0,1
19930,202.25,204.85,0,2,250.0,0.0,0.01,0,0
19930,192.25,194.85,0,0,260.0,0.0,0.01,0,1
19930,182.25,184.8,0,0,270.0,0.0,0.01,0,10
19930,172.25,174.8,0,5,280.0,0.0,0.01,0,2
19930,162.25,164.8,0,3,290.0,0.0,0.07,0,1
19930,152.25,154.8,1,0,300.0,0.0,0.02,4,147
19930,142.2,144.8,3,13,310.0,0.0,0.07,0,13
19930,132.2,134.8,1,2,320.0,0.0,0.37,0,26
19930,127.65,129.45,2,2,325.0,0.0,0.07,1,24
19930,122.2,124.8,0,22,330.0,0.0,0.07,0,737
19930,117.05,119.95,0,14,335.0,0.0,0.01,0,34
19930,112.45,114.65,0,105,340.0,0.0,0.37,0,4
19930,107.6,109.45,3,3,345.0,0.0,0.09,0,100
19930,102.65,104.9,0,1,350.0,0.0,0.01,30,67
19930,97.65,99.45,7,14,355.0,0.0,0.02,32,416
19930,92.5,94.9,0,1,360.0,0.0,0.02,0,659
19930,87.0,90.05,1,4,365.0,0.0,0.02,14,115
19930,82.3,84.85,4,13,370.0,0.0,0.03,1,756
19930,77.1,80.05,1,6,375.0,0.0,0.03,22,433
19930,72.25,74.85,0,1,380.0,0.0,0.07,128,678
19930,67.35,69.85,3,31,385.0,0.0,0.08,76,620
19930,62.8,64.95,0,4,390.0,0.0,0.05,127,994
19930,57.05,60.0,0,3,395.0,0.01,0.3,327,833
19930,52.95,54.5,25,240,400.0,0.01,0.04,604,2117
19930,47.1,50.0,0,3,405.0,0.02,0.06,284,905
19930,42.7,45.2,6,6,410.0,0.03,0.05,826,1766
19930,37.55,40.05,2,9,415.0,0.04,0.12,1166,2614
19930,32.95,34.5,30,19,420.0,0.1,0.14,1430,1752
19930,27.95,29.6,28,25,425.0,0.17,0.21,2185,3404
19930,23.1,24.65,98,56,430.0,0.26,0.29,3959,4649
19930,18.25,20.4,142,41,435.0,0.46,0.51,5500,2022
19930,14.25,14.8,583,87,440.0,0.84,0.96,7808,2373
19930,10.05,10.55,1681,155,445.0,1.55,1.81,8857,2350
19930,6.5,6.95,6742,484,450.0,2.96,3.15,21058,4144
19930,3.75,4.1,10815,803,455.0,5.1,5.4,18638,3471
19930,1.88,2.16,19747,1499,460.0,8.15,8.65,12283,4911
19930,0.85,1.03,13999,1793,465.0,11.85,12.75,3844,4934
19930,0.4,0.46,20441,5008,470.0,16.15,17.5,5775,6856
19930,0.2,0.22,9095,4499,475.0,20.75,22.2,936,3348
19930,0.1,0.12,11093,5456,480.0,25.85,27.05,3664,5220
19930,0.05,0.19,1592,2338,482.5,28.2,29.8,185,3045
19930,0.06,0.1,4121,4833,485.0,30.75,32.1,532,3667
19930,0.03,0.07,892,1453,487.5,33.2,34.8,190,1053
19930,0.05,0.06,3662,5421,490.0,35.8,37.05,435,2130
19930,0.05,0.06,1039,1902,492.5,38.25,39.65,90,571
19930,0.02,0.09,2257,4820,495.0,40.75,42.1,286,1706
19930,0.03,0.05,597,1845,497.5,43.15,44.75,704,288
19930,0.03,0.04,2800,7404,500.0,45.8,47.1,5320,1987
19930,0.01,0.04,204,1930,502.5,48.25,49.8,1361,417
19930,0.02,0.03,781,2445,505.0,50.75,52.1,1350,423
19930,0.02,0.03,433,2011,507.5,53.1,54.8,311,88
19930,0.01,0.03,779,4669,510.0,55.85,57.1,1883,563
19930,0.0,0.02,1644,2585,512.5,58.25,59.8,53,26
19930,0.01,0.02,1004,5137,515.0,60.35,62.55,205,77
19930,0.01,0.02,114,1783,517.5,63.2,65.2,55,9
19930,0.01,0.02,893,5337,520.0,65.8,67.1,139,19
19930,0.01,0.09,294,2713,522.5,68.1,69.8,3,1
19930,0.01,0.03,380,3623,525.0,70.75,72.1,940,152
19930,0.0,0.05,121,2947,527.5,72.95,75.1,1,1
19930,0.01,0.02,533,5536,530.0,75.8,77.05,416,70
19930,0.01,0.07,13,922,532.5,78.0,80.3,0,0
19930,0.0,0.01,358,4585,535.0,80.7,82.1,350,63
19930,0.0,0.01,63,796,537.5,82.95,84.9,0,0
19930,0.0,0.01,352,2648,540.0,85.75,87.85,56,10
19930,0.0,0.01,111,719,542.5,88.0,90.1,0,0
19930,0.0,0.01,63,1794,545.0,90.8,92.5,38,9
19930,0.0,0.01,155,567,547.5,93.0,95.1,0,0
19930,0.0,0.01,188,4500,550.0,95.65,97.4,2,0
19930,0.0,0.01,120,1018,555.0,100.5,102.75,0,0
19930,0.0,0.01,143,2374,560.0,105.65,107.45,0,5
19930,0.0,0.01,1052,3158,565.0,110.5,112.7,0,0
19930,0.0,0.01,114,1605,570.0,115.65,117.6,0,4
19930,0.0,0.01,161,1167,575.0,120.5,122.75,0,0
19930,0.0,0.01,0,2673,580.0,125.65,127.6,0,0
19930,0.0,0.01,68,1840,585.0,130.55,132.6,0,0
19930,0.0,0.01,4,1495,590.0,135.65,137.4,0,0
