Expiration,CBid,CAsk,CVolume,COI,Strike,PBid,PAsk,PVolume,POI
19930,197.25,200.4,0,1,220.0,0.0,0.01,0,18
19930,187.2,189.9,0,0,230.0,0.0,0.42,0,1
19930,177.25,180.4,0,1,240.0,0.0,0.42,0,0
19930,167.25,170.4,0,0,250.0,0.0,0.62,0,12
19930,157.1,160.45,0,1,260.0,0.0,0.62,0,0
19930,147.2,150.45,1,2,270.0,0.0,0.42,0,0
19930,137.2,140.45,0,0,280.0,0.0,0.51,0,0
19930,132.25,135.45,0,0,285.0,0.0,0.22,0,0
19930,127.05,130.45,0,4,290.0,0.0,0.22,0,0
19930,122.2,125.45,0,0,295.0,0.0,0.51,0,15
19930,117.05,120.45,0,9,300.0,0.0,0.01,0,208
19930,112.15,115.45,0,1,305.0,0.0,0.01,0,174
19930,107.15,110.45,0,0,310.0,0.0,0.62,1,12
19930,102.2,105.45,5,14,315.0,0.0,0.03,0,6
19930,97.3,100.45,9,10,320.0,0.0,0.42,0,6
19930,92.25,95.45,0,2,325.0,0.0,0.82,0,66
19930,87.3,89.95,0,11,330.0,0.0,0.01,0,25
19930,82.25,85.45,0,2,335.0,0.0,0.05,0,38
19930,77.3,80.5,0,25,340.0,0.0,0.21,20,41
19930,72.15,75.45,0,45,345.0,0.0,0.01,0,3
19930,67.25,70.3,0,13,350.0,0.0,0.01,3,251
19930,62.55,65.15,6,13,355.0,0.0,0.01,0,694
19930,57.3,59.95,13,16,360.0,0.0,0.25,30,374
19930,52.5,55.15,0,17,365.0,0.0,0.01,0,1662
19930,47.6,50.15,3,75,370.0,0.0,0.01,219,911
19930,42.1,45.0,7,10,375.0,0.0,0.01,100,2353
19930,37.65,40.15,1,43,380.0,0.01,0.02,179,1417
19930,32.75,35.1,9,8,385.0,0.02,0.06,600,1388
19930,27.4,29.7,25,61,390.0,0.07,0.09,984,873
19930,22.05,25.25,5,8,395.0,0.09,0.2,814,1717
19930,17.3,21.0,101,94,400.0,0.2,0.22,1509,11378
19930,12.35,16.5,19,25,405.0,0.33,0.4,2505,1475
19930,8.6,10.45,232,142,410.0,0.7,0.84,5326,4757
19930,4.7,6.2,1534,127,415.0,1.6,1.89,10332,4370
19930,2.31,2.65,8882,405,420.0,3.1,3.95,28976,4192
19930,0.82,0.9,35421,1136,425.0,6.1,7.5,14008,6288
19930,0.25,0.3,36892,3184,430.0,10.15,13.2,3329,5060
19930,0.15,0.18,7544,2085,432.5,13.4,15.1,1739,3836
19930,0.1,0.31,12688,4199,435.0,16.25,17.75,1965,5298
19930,0.05,0.09,4617,4614,437.5,17.75,20.5,1021,2297
19930,0.05,0.07,5711,5912,440.0,20.3,22.9,717,5623
19930,0.04,0.06,1029,2211,442.5,22.75,25.5,415,1952
19930,0.03,0.04,2555,4559,445.0,25.15,28.0,346,1291
19930,0.02,0.04,601,3065,447.5,27.55,30.15,121,930
19930,0.01,0.04,3737,9365,450.0,29.9,33.0,7205,1761
19930,0.01,0.03,248,3749,452.5,32.25,35.4,1309,187
19930,0.02,0.03,877,5593,455.0,35.95,37.7,8378,1110
19930,0.02,0.03,393,3399,457.5,37.6,40.2,1798,222
19930,0.01,0.02,661,5759,460.0,40.15,42.8,2833,354
19930,0.01,0.03,121,2845,462.5,42.55,45.5,342,39
19930,0.01,0.02,504,4831,465.0,45.1,48.0,144,22
19930,0.01,0.02,153,5290,467.5,47.95,50.15,20,4
19930,0.01,0.02,174,5420,470.0,50.3,53.05,0,0
19930,0.0,0.01,321,1059,472.5,52.65,55.2,0,0
19930,0.0,0.01,139,12027,475.0,55.4,57.7,7,2
19930,0.0,0.01,41,649,477.5,57.55,60.4,0,0
19930,0.0,0.01,295,2654,480.0,60.0,63.0,21,5
19930,0.0,0.52,50,1089,482.5,62.7,65.15,0,0
19930,0.0,0.01,643,1174,485.0,65.2,67.9,0,0
19930,0.0,0.01,312,341,487.5,67.4,70.45,0,0
19930,0.0,0.01,335,1102,490.0,70.05,73.0,0,0
19930,0.0,0.01,23,1184,495.0,74.95,78.0,0,0
19930,0.0,0.01,20,2550,500.0,79.95,83.0,7,2
19930,0.0,0.01,0,739,505.0,85.0,88.0,1,0
19930,0.0,0.01,0,268,510.0,89.9,93.0,1,0
19930,0.0,0.01,0,250,515.0,94.95,98.05,0,0
19930,0.0,0.01,0,133,520.0,100.05,103.05,0,0
19930,0.0,0.01,0,686,525.0,105.0,108.05,0,0
19930,0.0,0.01,0,363,530.0,110.05,113.05,0,0
19930,0.0,0.01,0,2193,535.0,114.95,118.0,0,0
19937,187.8,190.4,0,3,230.0,0.0,0.01,0,0
19937,177.85,180.45,0,0,240.0,0.0,0.01,0,1
19937,167.85,170.5,0,0,250.0,0.0,0.01,0,0
19937,157.85,160.45,0,2,260.0,0.0,0.44,0,2
19937,147.9,150.5,0,1,270.0,0.0,0.24,0,0
19937,137.9,140.5,0,1,280.0,0.0,0.44,0,0
19937,132.95,135.55,0,0,285.0,0.0,0.45,0,0
19937,127.95,130.5,0,1,290.0,0.0,0.53,0,0
19937,122.95,125.5,0,1,295.0,0.0,0.27,0,2
19937,118.0,119.6,0,25,300.0,0.0,0.07,0,5
19937,112.95,115.6,1,1,305.0,0.01,0.08,0,10
19937,108.0,109.6,0,1,310.0,0.02,0.05,4,21
19937,103.0,106.25,5,2,315.0,0.03,0.06,28,31
19937,98.05,101.25,9,5,320.0,0.05,0.11,95,47
19937,93.1,95.7,0,7,325.0,0.07,0.13,13,74
19937,88.1,89.75,2,16,330.0,0.1,0.17,8,68
19937,83.15,85.75,0,1,335.0,0.15,0.19,89,238
19937,78.2,79.85,0,68,340.0,0.19,0.23,118,117
19937,73.25,74.95,1,1,345.0,0.25,0.3,29,65
19937,68.3,70.9,19,6,350.0,0.37,0.38,988,324
