Expiration,CBid,CAsk,CVolume,COI,Strike,PBid,PAsk,PVolume,POI
19930,59.8,62.6,9,7,50.0,0.0,0.01,0,15072
19930,56.6,57.6,9,74,55.0,0.0,0.01,0,2702
19930,51.4,55.1,0,58,60.0,0.0,0.01,0,7127
19930,46.95,49.6,8,10,65.0,0.0,0.01,34,1767
19930,41.45,44.25,218,427,70.0,0.0,0.01,1155,14164
19930,36.95,39.85,69,136,75.0,0.0,0.01,1321,13351
19930,32.0,34.8,612,1086,80.0,0.0,0.01,1555,16652
19930,30.95,33.7,1,197,81.0,0.0,0.01,86,17925
19930,29.2,32.6,24,28,82.0,0.0,0.01,629,10435
19930,28.15,31.75,1,92,83.0,0.0,0.02,347,7132
19930,28.05,28.6,418,422,84.0,0.0,0.02,610,5935
19930,26.05,27.65,29,149,85.0,0.0,0.02,571,10015
19930,25.95,26.55,14,63,86.0,0.0,0.07,2250,9962
19930,24.95,25.55,1,154,87.0,0.0,0.02,4247,11604
19930,24.0,24.55,0,128,88.0,0.0,0.1,1736,6445
19930,23.0,25.5,96,223,89.0,0.01,0.03,3588,7625
19930,22.05,23.05,135,1616,90.0,0.01,0.03,3585,9695
19930,21.0,23.75,12,132,91.0,0.01,0.03,2712,3087
19930,20.0,22.55,78,181,92.0,0.01,0.02,3467,3239
19930,19.0,21.7,181,88,93.0,0.01,0.03,4978,6920
19930,17.95,18.7,4,53,94.0,0.01,0.03,5877,7886
19930,17.05,19.6,162,349,95.0,0.02,0.03,5504,5363
19930,16.0,16.65,241,341,96.0,0.02,0.04,2755,2460
19930,15.0,15.75,62,125,97.0,0.02,0.07,5437,1978
19930,14.0,14.75,30,219,98.0,0.04,0.05,4342,4700
19930,13.0,13.75,141,178,99.0,0.04,0.05,10213,5648
19930,11.8,15.15,2701,3231,100.0,0.04,0.05,73120,31040
19930,11.0,11.7,67,272,101.0,0.06,0.07,10412,5476
19930,10.15,11.15,1436,385,102.0,0.06,0.09,15969,21308
19930,9.1,10.2,440,1189,103.0,0.09,0.11,13802,4941
19930,8.1,10.85,607,356,104.0,0.1,0.15,18229,3716
19930,7.25,7.75,9490,1397,105.0,0.17,0.19,96487,16807
19930,6.3,6.95,3962,448,106.0,0.23,0.24,54929,7707
19930,5.35,5.7,12598,421,107.0,0.3,0.34,48413,11515
19930,4.65,5.05,30715,929,108.0,0.4,0.49,87838,13378
19930,3.85,4.05,24547,1682,109.0,0.6,0.67,50001,12375
19930,3.1,3.25,106206,8717,110.0,0.84,0.87,229608,38940
19930,2.4,2.86,62530,1983,111.0,1.12,1.23,72511,19052
19930,1.87,1.95,102343,2196,112.0,1.51,1.7,112956,27169
19930,1.34,1.45,105369,2525,113.0,1.91,2.14,104838,19959
19930,0.98,1.03,120481,6868,114.0,2.63,2.76,102421,19313
19930,0.71,0.72,298544,19285,115.0,3.1,3.45,139102,34845
19930,0.43,0.5,160814,12668,116.0,4.05,4.25,46391,15245
19930,0.29,0.32,106084,15916,117.0,4.45,6.4,22631,18241
19930,0.22,0.23,99649,29695,118.0,5.8,6.25,11849,19640
19930,0.13,0.16,46977,22236,119.0,6.5,7.05,6888,18445
19930,0.1,0.11,169072,59681,120.0,7.65,8.0,13998,31917
19930,0.08,0.09,29785,20592,121.0,8.0,9.0,2952,14755
19930,0.06,0.07,37893,33198,122.0,9.45,10.0,3761,22736
19930,0.04,0.05,31633,35870,123.0,10.1,12.1,2144,16671
19930,0.03,0.05,25930,27989,124.0,11.65,12.0,1876,8038
19930,0.03,0.04,42754,60879,125.0,12.35,13.1,2626,15753
19930,0.03,0.04,50392,61940,126.0,13.3,14.4,1139,5016
19930,0.02,0.03,48353,69564,127.0,12.15,16.2,813,7883
19930,0.02,0.03,13343,33209,128.0,15.4,16.3,767,6275
19930,0.02,0.03,10025,26373,129.0,16.3,17.4,413,2856
19930,0.01,0.02,30741,72730,130.0,17.35,18.25,16233,5280
19930,0.01,0.02,9679,29460,131.0,16.7,20.05,6829,2325
19930,0.01,0.02,4020,26619,132.0,17.3,20.6,4021,1408
19930,0.01,0.02,3066,34247,133.0,20.15,21.25,1198,509
19930,0.01,0.02,3916,29137,134.0,21.2,22.55,1274,469
19930,0.01,0.02,9470,43342,135.0,22.4,23.25,1638,572
19930,0.0,0.02,4709,18827,136.0,21.55,25.0,98,30
19930,0.0,0.01,2756,17103,137.0,24.3,25.2,79,31
19930,0.0,0.01,1688,8597,138.0,23.7,27.0,32,9
19930,0.0,0.01,630,7589,139.0,24.5,28.0,90,26
19930,0.0,0.01,8064,38611,140.0,25.8,28.8,73,34
19930,0.0,0.01,2566,8650,141.0,25.95,29.6,10,0
19930,0.0,0.01,350,6025,142.0,27.8,30.6,0,0
19930,0.0,0.01,729,7881,143.0,30.2,31.3,0,0
19930,0.0,0.01,52,11905,144.0,31.1,32.5,7,3
19930,0.0,0.01,744,21895,145.0,30.0,33.8,75,30
19930,0.0,0.01,16,7992,146.0,31.8,34.55,0,0
19930,0.0,0.01,129,9696,147.0,32.8,35.6,0,1
19930,0.0,0.01,21,5392,148.0,33.2,37.05,2,1
19930,0.0,0.01,321,6901,149.0,34.8,37.55,0,0
19930,0.0,0.01,2145,24506,150.0,35.8,38.55,0,2
19930,0.0,0.01,11,3958,152.0,37.8,40.5,0,0
19930,0.0,0.01,105,12222,155.0,40.8,43.5,0,0
19930,0.0,0.01,75,13577,160.0,47.3,48.3,0,0
19930,0.0,0.01,40,9460,165.0,49.75,53.8,0,0
19930,0.0,0.01,374,10560,170.0,54.8,58.6,0,0
19930,0.0,0.01,0,3926,175.0,60.1,63.6,0,0
19930,0.0,0.01,0,4093,180.0,64.95,68.6,0,0
19930,0.0,0.01,0,4450,185.0,70.05,73.5,0,0
19930,0.0,0.01,10,3866,190.0,74.95,78.6,0,0
19930,0.0,0.01,0,4647,195.0,80.05,85.0,0,0
19930,0.0,0.01,0,14404,200.0,85.05,89.0,0,0
19930,0.0,0.01,0,11047,205.0,90.0,94.9,0,0
19930,0.0,0.01,3,49814,210.0,95.0,99.05,0,0
19930,0.0,0.01,20,45219,215.0,100.05,104.0,0,0
19930,0.0,0.01,4,25412,220.0,105.0,109.05,0,0
19930,0.0,0.0,0,0,800.0,0.0,0.0,0,8
19930,0.0,0.0,0,0,810.0,0.0,0.0,0,0
19930,0.0,0.0,0,0,820.0,0.0,0.0,0,0
19930,0.0,0.0,0,0,830.0,0.0,0.0,0,0
19930,0.0,0.0,0,0,840.0,0.0,0.0,0,2
19930,0.0,0.0,0,0,850.0,0.0,0.0,0,5
