Date,Open,High,Low,Close,Adj Close,Volume
15478,42.049999,45.0,38.0,38.23,38.1516,573576400
15481,36.529999,36.66,33.0,34.029999,33.960213,168192700
15482,32.610001,33.59,30.940001,31.0,30.936428,101786600
15483,31.370001,32.5,31.360001,32.0,31.934378,73600000
15484,32.950001,33.209999,31.77,33.029999,32.962265,50237200
15485,32.900002,32.950001,31.110001,31.91,31.844561,37149800
15489,31.48,31.690001,28.65,28.84,28.780857,78063400
15490,28.700001,29.549999,27.860001,28.190001,28.132191,57267900
15491,28.549999,29.67,26.83,29.6,29.539299,111639200
15492,28.889999,29.15,27.389999,27.719999,27.663153,41855500
15495,27.200001,27.65,26.440001,26.9,26.844835,35230300
15496,26.700001,27.76,25.75,25.870001,25.816948,42473400
15497,26.07,27.17,25.52,26.809999,26.75502,61489200
15498,27.0,27.35,26.15,26.309999,26.256044,26159500
15499,26.549999,27.76,26.440001,27.1,27.044426,38034000
15502,27.18,28.07,26.84,27.01,26.954611,28219600
15503,27.48,27.77,26.959999,27.4,27.343809,15816800
15504,27.66,28.1,27.1,27.27,27.214077,17102800
15505,27.65,28.32,27.379999,28.290001,28.231987,16855000
15506,28.51,30.1,28.35,30.01,29.948458,43563800
15509,29.959999,32.080002,29.41,31.41,31.345587,42978900
15510,31.540001,32.18,30.700001,31.91,31.844561,30849000
15511,31.92,31.93,31.15,31.6,31.535196,15553600
15512,31.67,32.5,31.51,31.84,31.774706,21875300
15513,32.41,33.450001,32.060001,33.049999,32.982224,74834000
15516,32.860001,33.02,31.549999,32.060001,31.994253,24352900
15517,32.689999,33.439999,32.5,33.099998,33.03212,24858700
15518,32.459999,32.900002,31.9,32.23,32.163906,28568000
15519,31.959999,32.189999,30.9,31.360001,31.295691,17713300
15520,31.92,31.99,30.76,31.1,31.036222,19526900
15523,31.25,31.73,30.549999,30.77,30.7069,14122000
15524,30.91,31.440001,30.799999,31.200001,31.136019,8763600
15526,31.32,31.629999,31.02,31.469999,31.405464,10032100
15527,31.440001,31.9,31.26,31.73,31.66493,10945600
15530,32.099998,32.880001,31.99,32.169998,32.104027,17785200
15531,32.43,32.48,31.16,31.469999,31.405464,14269500
15532,31.48,31.559999,30.549999,30.969999,30.906488,13030300
15533,30.700001,31.4,30.6,30.809999,30.746817,11300700
15534,31.040001,31.07,30.559999,30.719999,30.657001,8108300
15537,30.5,30.5,28.209999,28.25,28.192068,24672100
15538,28.48,28.59,27.15,28.09,28.032396,30438600
15539,28.309999,29.290001,28.15,29.110001,29.050304,16841800
15540,29.41,29.5,28.629999,29.0,28.940529,13685100
15541,29.0,29.469999,28.719999,28.76,28.701021,11869100
15544,28.120001,29.0,28.01,28.75,28.691042,12390700
15545,28.82,29.450001,28.1,28.450001,28.391659,11539800
15546,28.389999,29.49,28.08,29.34,29.279831,17230200
15547,27.75,28.23,26.73,26.85,26.794939,64597400
15548,23.190001,24.540001,22.280001,23.709999,23.661377,123102300
15551,24.0,24.040001,23.030001,23.15,23.102526,29285900
15552,23.370001,23.370001,21.610001,21.709999,21.665478,56179400
15553,21.5,21.58,20.84,20.879999,20.837179,44604400
15554,20.77,20.84,19.82,20.040001,19.998905,56374500
15555,20.360001,22.16,19.9,21.09,21.046751,80647000
15558,21.389999,22.15,21.299999,21.92,21.875048,27778900
15559,22.200001,22.450001,20.5,20.719999,20.677507,36782900
15560,20.709999,21.15,20.219999,20.719999,20.677507,29537400
15561,20.75,21.17,20.610001,21.01,20.966915,15610700
15562,21.41,21.82,21.129999,21.809999,21.765272,25794700
15565,22.15,22.450001,21.4,21.6,21.555704,24973100
15566,21.41,21.6,20.25,20.379999,20.338205,39308800
15567,20.639999,21.41,20.4,21.200001,21.156525,47861100
15568,20.440001,20.48,19.690001,19.870001,19.829252,157565300
15569,20.01,20.08,19.0,19.049999,19.010933,129293400
15572,19.049999,20.129999,18.75,20.01,19.968966,101186600
15573,19.58,19.98,19.09,19.16,19.120708,70640600
15574,19.360001,19.530001,18.959999,19.440001,19.400133,49892200
15575,19.5,19.73,19.360001,19.440001,19.400133,32813700
15576,19.52,19.68,19.25,19.41,19.370195,29622200
15579,19.49,19.530001,19.1,19.15,19.110729,20704000
15580,19.1,19.379999,18.950001,19.34,19.300339,25417000
15581,19.32,19.379999,19.07,19.1,19.060831,16124700
15582,19.27,19.450001,19.059999,19.09,19.050852,30647500
15583,18.68,18.700001,18.030001,18.059999,18.022963,58764200
15587,18.08,18.27,17.549999,17.73,17.693642,46622400
15588,18.27,18.75,18.18,18.58,18.541897,60781800
15589,18.74,19.26,18.719999,18.959999,18.921118,46066500
15590,19.1,19.42,18.780001,18.98,18.941076,36371700
15593,19.059999,19.200001,18.549999,18.809999,18.771427,24797800
15594,18.92,19.58,18.85,19.43,19.390156,50508200
15595,20.76,21.16,20.280001,20.93,20.887077,121584000
15596,20.959999,21.48,20.610001,20.709999,20.66753,65041600
15597,21.129999,22.08,20.9,22.0,21.954884,72819800
15600,22.67,22.75,21.5,21.52,21.47587,50667600
15601,21.6,21.98,21.370001,21.870001,21.825151,36760500
15602,21.99,23.370001,21.77,23.290001,23.242239,78782800
15603,23.02,23.24,22.540001,22.59,22.543674,57248900
15604,22.969999,23.24,22.6,22.860001,22.813122,51218100
15607,21.780001,21.98,20.360001,20.790001,20.747366,79106500
15608,21.200001,21.209999,20.219999,20.280001,20.238413,46291700
15609,20.15,20.780001,19.799999,20.620001,20.577715,38271900
15610,20.99,21.0,20.16,20.32,20.278328,30215900
15611,20.57,21.950001,20.5,21.66,21.615582,65486000
15614,22.08,22.59,21.73,21.99,21.944904,51262700
15615,22.08,22.49,21.82,22.27,22.224331,29341400
15616,22.299999,22.49,21.799999,21.83,21.785233,32000100
15617,22.32,22.4,21.41,21.950001,21.904987,46892100
15618,21.49,21.629999,20.879999,20.91,20.867121,40529300
15621,20.4,20.75,20.16,20.4,20.358166,32236700
15622,20.389999,20.549999,19.969999,20.23,20.188513,27161800
15623,19.93,19.940001,19.450001,19.639999,19.599722,39321800
15624,19.879999,19.959999,19.610001,19.75,19.709497,21817300
15625,19.75,19.799999,19.48,19.52,19.479971,18809400
15628,19.68,19.879999,19.49,19.52,19.479971,20189700
15629,19.68,19.690001,19.299999,19.48,19.440052,21834700
15630,19.5,20.48,19.370001,19.879999,19.839231,44074500
15631,19.700001,19.790001,18.889999,18.98,18.941076,52157400
15632,19.0,19.059999,18.799999,19.0,18.961037,34835000
15635,19.200001,19.43,19.049999,19.32,19.28038,32447300
15636,19.25,19.799999,19.1,19.5,19.460011,78381200
15637,24.129999,24.25,22.85,23.23,23.18236,228949900
15638,23.290001,23.309999,22.469999,22.559999,22.513737,76142000
15639,22.4,22.879999,21.879999,21.940001,21.895008,73175800
15644,20.82,21.5,20.73,21.110001,21.06671,99378200
15645,21.08,21.440001,21.01,21.209999,21.166504,37713900
15646,21.26,21.690001,21.07,21.18,21.136566,38344400
15649,21.1,21.48,20.92,21.25,21.206423,31806700
15650,21.24,21.370001,20.99,21.17,21.126587,29062700
15651,20.85,20.950001,20.370001,20.469999,20.42802,33396800
